itm_no_item|INVALID ITEM
itm_no_item_pl|INVALID ITEM
itm_tutorial_spear|Mızrak
itm_tutorial_spear_pl|Mızrak
itm_tutorial_club|Sopa
itm_tutorial_club_pl|Sopa
itm_tutorial_battle_axe|Savaş Baltası
itm_tutorial_battle_axe_pl|Savaş Baltası
itm_tutorial_arrows|Oklar
itm_tutorial_arrows_pl|Oklar
itm_tutorial_bolts|Kurşunlar
itm_tutorial_bolts_pl|Kurşunlar
itm_tutorial_short_bow|Kısa Yay
itm_tutorial_short_bow_pl|Kısa Yay
itm_tutorial_crossbow|Kundaklı Yay
itm_tutorial_crossbow_pl|Kundaklı Yay
itm_tutorial_throwing_daggers|Fırlatma Hançeri
itm_tutorial_throwing_daggers_pl|Fırlatma Hançeri
itm_tutorial_saddle_horse|Binek Atı
itm_tutorial_saddle_horse_pl|Binek Atı
itm_tutorial_shield|İstavroz Kalkan
itm_tutorial_shield_pl|İstavroz Kalkan
itm_tutorial_staff_no_attack|Asa
itm_tutorial_staff_no_attack_pl|Asa
itm_tutorial_staff|Asa
itm_tutorial_staff_pl|Asa
itm_tutorial_sword|Kılıç
itm_tutorial_sword_pl|Kılıç
itm_tutorial_axe|Balta
itm_tutorial_axe_pl|Balta
itm_tutorial_dagger|Hançer
itm_tutorial_dagger_pl|Hançer
itm_horse_meat|At Eti
itm_horse_meat_pl|At Eti
itm_practice_sword|Talim Kılıcı
itm_practice_sword_pl|Talim Kılıcı
itm_heavy_practice_sword|Ağır Talim Kılıcı
itm_heavy_practice_sword_pl|Ağır Talim Kılıcı
itm_practice_dagger|Talim Hançeri
itm_practice_dagger_pl|Talim Hançeri
itm_practice_axe|Talim Baltası
itm_practice_axe_pl|Talim Baltası
itm_arena_axe|Balta
itm_arena_axe_pl|Balta
itm_arena_sword|Kılıç
itm_arena_sword_pl|Kılıç
itm_arena_sword_two_handed|Çift Elli Kılıç
itm_arena_sword_two_handed_pl|Çift Elli Kılıç
itm_arena_lance|Kargı
itm_arena_lance_pl|Kargı
itm_practice_staff|Talim Sopası
itm_practice_staff_pl|Talim Sopası
itm_practice_lance|Talim Kargısı
itm_practice_lance_pl|Talim Kargısı
itm_practice_shield|Talim Kalkanı
itm_practice_shield_pl|Talim Kalkanı
itm_practice_bow|Talim Yayı
itm_practice_bow_pl|Talim Yayı
itm_practice_crossbow|Talim Misket Tüfeği
itm_practice_crossbow_pl|Talim Misket Tüfeği
itm_practice_javelin|Talim Cidası
itm_practice_javelin_pl|Talim Cidası
itm_practice_javelin_melee|Talim Ciriti
itm_practice_javelin_melee_pl|Talim Ciriti
itm_practice_throwing_daggers|Fırlatma Hançeri
itm_practice_throwing_daggers_pl|Fırlatma Hançeri
itm_practice_throwing_daggers_100_amount|Fırlatma Hançeri
itm_practice_throwing_daggers_100_amount_pl|Fırlatma Hançeri
itm_practice_horse|Safkan At
itm_practice_horse_pl|Safkan Atlar
itm_practice_arrows|Talim Oku
itm_practice_arrows_pl|Talim Oku
itm_practice_bolts|Talim Mermileri
itm_practice_bolts_pl|Talim Mermileri
itm_practice_arrows_10_amount|Talim Oku
itm_practice_arrows_10_amount_pl|Talim Oku
itm_practice_arrows_100_amount|Talim Oku
itm_practice_arrows_100_amount_pl|Talim Oku
itm_practice_bolts_9_amount|Talim Kısa Oku
itm_practice_bolts_9_amount_pl|Talim Kısa Oku
itm_practice_boots|Talim Çizmesi
itm_practice_boots_pl|Talim Çizmesi
itm_red_tourney_armor|Kırmızı Turnuva Zırhı
itm_red_tourney_armor_pl|Kırmızı Turnuva Zırhı
itm_blue_tourney_armor|Mavi Turnuva Zırhı
itm_blue_tourney_armor_pl|Mavi Turnuva Zırhı
itm_green_tourney_armor|Yeşil Turnuva Zırhı
itm_green_tourney_armor_pl|Yeşil Turnuva Zırhı
itm_gold_tourney_armor|Sarı Turnuva Zırhı
itm_gold_tourney_armor_pl|Sarı Turnuva Zırhı
itm_red_tourney_helmet|Kırmızı Turnuva Miğferi
itm_red_tourney_helmet_pl|Kırmızı Turnuva Miğferi
itm_blue_tourney_helmet|Mavi Turnuva Miğferi
itm_blue_tourney_helmet_pl|Mavi Turnuva Miğferi
itm_green_tourney_helmet|Yeşil Turnuva Miğferi
itm_green_tourney_helmet_pl|Yeşil Turnuva Miğferi
itm_gold_tourney_helmet|Sarı Turnuva Miğferi
itm_gold_tourney_helmet_pl|Sarı Turnuva Miğferi
itm_arena_shield_red|Kalkan
itm_arena_shield_red_pl|Kalkan
itm_arena_shield_blue|Kalkan
itm_arena_shield_blue_pl|Kalkan
itm_arena_shield_green|Kalkan
itm_arena_shield_green_pl|Kalkan
itm_arena_shield_yellow|Kalkan
itm_arena_shield_yellow_pl|Kalkan
itm_arena_armor_white|Beyaz Arena Zırhı
